prediction;gold;sentence 
negative;negative;'skyfall's ãœbergewicht drã¤ngt nach vorn und hat keine zeit fã¼r situation oder person.
negative;negative;vermutlich wã¤re meine meinung besser, wenn e am ende nicht aussicht auf einen 2.teil gegeben hã¤tte.
positive;positive;danke fã¼r diesen film.
negative;positive;groãÿartiges kino mit einer grandiosen besetzung und sehr ã¼berzeugenen masken.
positive;positive;da animationsteam hat unglaubliches geleistet und dem film durch ã–lgemã¤lde-artige hintergrã¼nde ein gross mass an epik und imposanz verliehen.
positive;positive;man hã¤tte die geschichte auch lauter erzã¤hlen kã¶nnen.
negative;positive;sehenswerte kurzweilige unterhaltung.
negative;negative;kulturminister hemf (thomas thieme) will den autor georg dreymann (sebastian koch) abhã¶ren lassen, um ihn au dem weg schaffen zu kã¶nnen und dann dessen freundin christa-maria sieland (martina gedeck) zu bekommen.
positive;negative;dadurch wurde der film zu rã¼hrselig pathetisch, diese ganze botschaft â€žman mus nur glaubenâ€œ und da dã¼mmliche ende haben dem film deutlich geschadet.
positive;positive;step up ist der beste film den ich jemals gesehen hab!!!
positive;positive;die geschichte ist sehr einfach gehalten und der handlungsstrang ist voraussehbar, doch da soll bei diesem film kein manko sein.
positive;positive;in dieser wundertã¼te mit elvis, wahrer liebe, miesen typen, comics, kung-fu-movies, dialogen ã¼ber die fortpflanzung der afrikanischen mauren un warum man diese besser nicht mit sizillianern gleich stellt, drogengeschã¤ften, korkenzieher, und unglaubliche schlechte designersonnenbrillen.... sollte eigentlich jeder irgendetwas fã¼r sein gusto finden.
positive;positive;der film reiãÿt mit, berã¼hrt und ist zu keiner zeit langweilig.
positive;positive;schon alleine au mitleid mit ihm muãÿ ich diesen film gut finden, aber auch weil ich mir heute noch den arsch ablache darã¼ber.fazit: unerreichtes gagspektakel mit hoher witzdichte und nach heutigen maãÿstã¤ben unglaublich â€žzã¼chtigemâ€œ humor
negative;positive;ihm ist in erster linie eine ã¤uãÿerst machtvolle parabel ã¼ber die menschliche gesellschaft und ihre abgrã¼nde gelungen.
positive;positive;ein sehr bewegender film.
negative;positive;fã¼r jeden filmfan nur wã¤rmstens zu empfehlen!
negative;negative;"wenn ich den kameramann diesis film je in die finger bekomme, drehe ich ihm wahrscheinlich den hals um (nicht wortwã¶rtlich nehmen ;) )..."
negative;positive;nichts dergleichen.
positive;positive;super gespielt und man hofft in dem film einfach nur mit da e alles klappt wie sich da die 'crew'(damit meine ich nich da film-team) erhofft!
positive;positive;schade da e noch keine weiterfã¼hrung diesis teiles gibt.
negative;positive;die zweite hã¤lfte wird besser - e ist wieder bezug da, keine abgehackten verschiedenen szenarien, e ergibt sich wieder ein gesamtbild, in dem auch endlich spannung, emotionen und dramatik wieder zu tragen kommen, so wie e sein soll und wie ich e mir von anfang an gewã¼nscht hã¤tte.
negative;negative;darã¼berhinaus war die schauspielerische leistung in ordnung, und manche szenen haben wirklich kurzzeitig gefesselt.
negative;positive;macht nix.
negative;negative;trotzdem: fã¼r jeden dessen alter zweistellig ist dã¼rfte der titel eine einzige qual sein und auch ohne entsprechenden erfolg bleiben.
positive;negative;"der film ist fast ""nur"" ein reiner effektrausch."
negative;negative;5 von 10.
negative;positive;ich persã¶nlich wã¼rde allein fã¼r den stil nochmal rein.
positive;positive;umgeben von ungerechtigkeit, missgunst und ablehnung, sowohl in der schule al auch in der familie, bauen die beiden im wald auf der anderen seite de flu ihr eigenes heim in einer baumkrone.
positive;positive;unglaublich, dieser film lã¤sst einen nach dem schauen nicht mehr los!
negative;positive;auch die action bekommt eine gar nicht so gewichtige rolle.
positive;negative;tim rothsâ´ spiel wirkt bei alledem (v.a.
positive;positive;kino - dafã¼r werden (diese) filme gemacht der film unterhã¤lt einen wirklich.
positive;positive;"neben ""in meinem kopf ein universum"" ein polnischer film den man gesehen haben sollte."
negative;positive;nebenbei ist sebastian strã¶bel einfach zum anbeiãÿen und ein guter schauspieler, genau wie felicitas woll.
positive;negative;ein langweiliger film.
positive;positive;warum soll der film genauso wie der herr der ringe sein.
positive;positive;"bei keinem film in 2008 habe ich mich derart gut unterhalten gefã¼hlt (auãÿer ""tdk"" aber da ist wa anderes)."
negative;negative;aber wenn e nur diese kleinen fehler wã¤ren, mã¼ssten wir un ja keine sorgen machen.
positive;positive;"zum beispiel beim soudtrack, der an manchen stellen ã¤hnlich nach einem stã¼ck de groãÿen morricone klingt, welcher bekanntermaãÿen einige score-hammer de spaghetti-western erdacht hat - man siehe und hã¶re ""spiel mir da lied vom tod"" (10/10)."
positive;positive;wa ich persã¶nlich am anfang etwas gewã¶hnungsbedã¼rftig fand ist da die hauptdarsteller (spirit und die anderen pferde) nicht wirklich gesprochen (auãÿer spirit al erzã¤hler) sondern nur gewieher haben.
positive;positive;dieser film ist ein spielfilm und kein dokfilm.
positive;negative;diese einmischung ging wohl soweit, das sich fincher sogar von dem film distanzieren wollte.
negative;positive;so ist iron man nun fã¼r die rettung seiner freundin auf die mithilfe seiner freunde und alten weggefã¤hrten angewiesen.
negative;negative;schlimm genug das e realitã¤tsnah ist, diese typen sind so unfassbar dumm und stumpfsinnig das e mich einfach nur ank....
negative;positive;genial.
positive;positive;aber der film an sich ist ein waschechtes drama, mã¶glicherweise auch tragikomã¶die aber mir geht der begriff eigentlich zu weit.
positive;positive;"man kã¶nnte sagen wer full metal jacket ""mochte"" wird auch jarhead mã¶gen."
negative;positive;trotzdem punktet terminator punktet mit guten actionsequenzen hohen tempo, einen ungewã¶hnlichen neuen terminator und einen sehr guten arnold schwarzenegger sehenswert!
negative;negative;aber e kommt noch besser: dreymann bekommt besuch von einem journalisten au dem westen, der dreymanns text rausgeben soll.
negative;positive;"endlich mal richtig action ;) aber irgendwie passt der titel zu den film nicht!"
negative;positive;dennoch habe ich einiges zu bemã¤ngeln.
positive;negative;)aber man mus in zwei punkten fair sein: zum einen war die ursprungsfassung de filmes gut 3 stunden lang, also wird wohl viel erklã¤rendes und vertiefendes der schere zum opfer gefallen sein, zum anderen mag regisseur stuart baird vielleicht kein â€žstar trekâ€œ-regisseur sein, aber von action versteht er wa â€“ und der gesamte film ist von den effekten her und insbesondere in der actionreichen letzten halben stunde hervorragend inszeniert.trotzdem: e wã¤re garantiert ein schã¶nerer abschied von dieser crew mã¶glich gewesen!fazit: handwerklich gelungen, aber inhaltlich vergeigter sciencefiction-thriller, dem vã¶llig der charme der vorgã¤nger fehlt!
negative;positive;dy ist da regiedebã¼t von ben affleck gewesen.
positive;negative;eine dermaãÿen unangebrachte musikauswahl entsprechend der szenen und der thematik habe ich echt lange nicht mehr gehã¶rt.
positive;positive;die geschichte eines jungen mannes, der bei der sichtung der mã¼llverseuchten wohnung seiner ermordeten tante diese ihm (scheinbar)unbekannte frau stã¼ck fã¼r stã¼ck kennenlernt und au diesen erinnerungen auch antrieb fã¼r sein eigenes leben zieht, ist eine wunderbar unaufdringliche hymne auf da - auf den ersten blick scheinbar - ungelebte leben eines menschen.
positive;positive;"neben einer gelungenen inszenierung von mike newell kann ""donnie brasco"" vor allem durch ã¼berzeugende schauspielerische leistungen punkten."
positive;negative;trotzdem... da wo schluss sein sollte, war nicht schluss.
positive;positive;gleich vorweg ich liebe diesen film!
positive;negative;mit alles steht kopf hatten wir bereits einen der besten animationsfilme aller zeiten und nun stand natã¼rlich sofort die frage im raum, ob man mit arlo & spot (mal wieder ein vollkommen dã¤mlicher deutscher titel) erneut diese gigantische qualitã¤t auffahren konnte?
positive;positive;bane ist ein von liebe getriebener sã¶ldner, der sich al da notwendige bã¶se bezeichnet, wohingegen der joker eher al da absolut bã¶se zu sehen ist, der keine motive und beweggrã¼nde fã¼r sein handeln hat.
positive;negative;wer sich daran aufgei*** will ist hier richtig.
positive;negative;bei vielen szenen sieht man billige computereffekte (zb.
negative;positive;die unaufgeklã¤rten morde beunruhigen al taten de â€žtarotkarten-killersâ€œ die ã–ffentlichkeit.
positive;positive;die handlung erfindet natã¼rlich im ersten moment da genre nicht neu, ist fast schon â€ždie olle nummerâ€œ: ein junger mann erfã¤hrt das er krebs hat und daraufhin kippt seine welt au den latschen, die leute in seinem umfeld mã¼ssen sich der neuen situation al angemessen erweisen und bringen ã¼berraschende verhaltensweisen zu tage â€“ im guten wie im negativen.
negative;positive;kate winslet und leonardo dicaprio haben mich gleichermaãÿen ã¼berzeugt.
positive;positive;gleich zu beginn zeigt un der regisseur in welche richtung der film gehen wird.
negative;positive;gegenueber diesen beiden figuren geraet die manipulative, charakterlich kompliziertere evie im laufe de film etwas in den hintergrund.
positive;positive;ein schã¶ner film, der zu gefallen weiãÿ.
negative;positive;richtig â€“ ihr gebt euer bestes und vor allem, ihr geht auf nummer sicher.
positive;positive;vorweg: ich bin kein fan der coen-brueder.
positive;positive;naja, den schauen sich mehr frau an.
negative;positive;der junge und sommerset laufen die straãÿe entlang.
negative;positive;ungewã¶hnlicher bã¶seweicht, ungewã¶hnlicher rahmen und sehr seltsame handlung.
positive;negative;hr.burton hã¤tte durchaus mit farben spielen und e in ã¼bertriebene steigern kã¶nnen,befinden wir un schlieãÿlich im wunderland.der film wirkt auch im 3d mehr schlecht al recht.fã¼r mich eindeutig eine der schwã¤chsten leistungen von tim burton.
positive;positive;ana lebensfreude ist ansteckend, aber immer mit einem hauch trauer versehen.
positive;positive;fazit: seltsames, nur schwer anzuschauendes drama au griechenland.
negative;negative;einfach nur lachhaft.
negative;positive;neben ihm sind die weiteren vier freunde nach anfã¤nglichem zã¶gern sehr authentisch und witzig, das man vermutet, wright hã¤tte seine protagonisten lediglich abgefã¼llt und dann die kamera draufgehalten.
negative;positive;aber genau darin liegt auch der charme und witz: so schrã¤ge typen gibt e wirklich.
negative;positive;und wie lautet die botschaft???
positive;positive;die 2017 erscheinende fortsetzung kann nach diesem grandiosen neuanfang also gerne kommen.
negative;positive;obwohl ich sonst kein freund von horrorfilmen bin, hat dieser mich doch sehr gefesselt.
negative;negative;shootout at its... most uninspired.
negative;positive;vor allem die ã¤lteren schauspieler: groãÿartig!
negative;negative;wenn alle spiegelungen sooo gefã¤hrlich sind, weshalb hat dann keiner angst vor der glã¤nzenden autokarosserie?
positive;positive;der film ist von der location sehr gut gewã¤hlt und erinnert an ein computerspiel.
positive;positive;ja, denn die culture-clash-anleihen weichen dort eben einem sehr speziellen humor, der auch in einer der letzteren szenen noch einmal herangezogen wird.
positive;positive;nun zum filminhalt: da ich da buch bereits vor mehreren jahren gelesen habe, wusste ich nicht mehr ganz so gut bescheid ã¼ber die tatsã¤chliche story.
positive;negative;da guck ich mir doch lieber armageddon zum dritten mal an :) ciao!
negative;positive;die freie welt kommt nicht um den spagat herum, den religiã¶sen-faschismus und andere totalitã¤re ideologien mit allen mitteln zu bekã¤mpfen, gleichzeitig aber die persã¶nlichkeits-rechte ihrer bã¼rger zu achten.
positive;positive;mark strong hat al lord blackwood relativ wenig screentime und wenn er zu sehen ist, dann meist dã¼ster dreinblickend.
negative;negative;klã¤glich gescheitert schreit er seine enttã¤uschung und wut ã¼ber seine unfã¤higkeit dem bã¶sen pentagon verschwã¶rer in gesicht.
positive;positive;und natã¼rlich: fã¼r mich al fan ã¼berwiegen in der gesamtheit der mittelerde-hexalogie die stã¤rken.
positive;positive;top auch die medienschelte, die die beiden life vor ein paar tagen real umgesetzt haben.
negative;negative;aber eigentlich hat sie nicht schlecht gespielt.
